2001	01	175.600
2001	02	176.000
2001	03	176.100
2001	04	176.400
2001	05	177.300
2001	06	177.700
2001	07	177.400
2001	08	177.400
2001	09	178.100
2001	10	177.600
2001	11	177.500
2001	12	177.400
2002	01	177.700
2002	02	178.000
2002	03	178.500
2002	04	179.300
2002	05	179.500
2002	06	179.600
2002	07	180.000
2002	08	180.500
2002	09	180.800
2002	10	181.200
2002	11	181.500
2002	12	181.800
2003	01	182.600
2003	02	183.600
2003	03	183.900
2003	04	183.200
2003	05	182.900
2003	06	183.100
2003	07	183.700
2003	08	184.500
2003	09	185.100
2003	10	184.900
2003	11	185.000
2003	12	185.500
2004	01	186.300
2004	02	186.700
2004	03	187.100
2004	04	187.400
2004	05	188.200
2004	06	188.900
2004	07	189.100
2004	08	189.200
2004	09	189.800
2004	10	190.800
2004	11	191.700
2004	12	191.700
2005	01	191.600
2005	02	192.400
2005	03	193.100
2005	04	193.700
2005	05	193.600
2005	06	193.700
2005	07	194.900
2005	08	196.100
2005	09	198.800
2005	10	199.100
2005	11	198.100
2005	12	198.100
2006	01	199.300
2006	02	199.400
2006	03	199.700
2006	04	200.700
2006	05	201.300
2006	06	201.800
2006	07	202.900
2006	08	203.800
2006	09	202.800
2006	10	201.900
2006	11	202.000
2006	12	203.100
2007	01	203.437
2007	02	204.226
2007	03	205.288
2007	04	205.904
2007	05	206.755
2007	06	207.234
2007	07	207.603
2007	08	207.667
2007	09	208.547
2007	10	209.190
2007	11	210.834
2007	12	211.445
2008	01	212.174
2008	02	212.687
2008	03	213.448
2008	04	213.942
2008	05	215.208
2008	06	217.463
2008	07	219.016
2008	08	218.690
2008	09	218.877
2008	10	216.995
2008	11	213.153
2008	12	211.398
2009	01	211.933
2009	02	212.705
2009	03	212.495
2009	04	212.709
2009	05	213.022
2009	06	214.790
2009	07	214.726
2009	08	215.445
2009	09	215.861
2009	10	216.509
2009	11	217.234
2009	12	217.347
2010	01	217.488
2010	02	217.281
2010	03	217.353
2010	04	217.403
2010	05	217.290
2010	06	217.199
2010	07	217.605
2010	08	217.923
2010	09	218.275
2010	10	219.035
2010	11	219.590
2010	12	220.472
2011	01	221.187
2011	02	221.898
2011	03	223.046
2011	04	224.093
2011	05	224.806
2011	06	224.806
2011	07	225.395
2011	08	226.106
2011	09	226.597
2011	10	226.750
2011	11	227.169
2011	12	227.223
2012	01	227.842
2012	02	228.329
2012	03	228.807
2012	04	229.187
2012	05	228.713
2012	06	228.524
2012	07	228.590
2012	08	229.918
2012	09	231.015
2012	10	231.638
2012	11	231.249
2012	12	231.221
2013	01	231.679
2013	02	232.937
2013	03	232.282
2013	04	231.797
2013	05	231.893
2013	06	232.445
2013	07	232.900
2013	08	233.456
2013	09	233.544
2013	10	233.669
2013	11	234.100
2013	12	234.719
2014	01	235.347
2014	02	235.522
2014	03	235.956
2014	04	236.463
2014	05	236.867
2014	06	237.188
2014	07	237.485
2014	08	237.439
2014	09	237.452
2014	10	237.447
2014	11	237.042
2014	12	236.270
2015	01	234.836
2015	02	235.274
2015	03	235.956
2015	04	236.165
2015	05	236.952
2015	06	237.618
2015	07	237.993
2015	08	237.989
2015	09	237.467
2015	10	237.764
2015	11	238.072
2015	12	237.827
2016	01	237.990
2016	02	237.532
2016	03	238.022
2016	04	238.843
2016	05	239.439
2016	06	240.074
2016	07	240.058
2016	08	240.569
2016	09	241.017
2016	10	241.667
2016	11	242.081
2016	12	242.784
2017	01	244.028
2017	02	244.102
2017	03	243.717
2017	04	244.087
2017	05	243.911
2017	06	244.032
2017	07	244.236
2017	08	245.262
2017	09	246.392
2017	10	246.583
2017	11	247.411
2017	12	247.910
2018	01	249.245
2018	02	249.619
2018	03	249.462
2018	04	250.013
2018	05	250.535
2018	06	250.857

